"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GlnRS",0.00496517569795937,0.137981203564924,0.16,0.118,1
"TM4SF",0.00499943072143389,0.253861234669639,0.108,0.075,1
"Strip",0.00501339460624487,0.249429753938777,0.108,0.075,1
"fj",0.00501550032753355,0.576121481888609,0.079,0.051,1
"EndoU",0.00502137739897225,0.216530594387125,0.163,0.121,1
"Spn28Dc",0.00502166772380753,0.279911794898469,0.049,0.028,1
"CG3337",0.00503398469659943,0.135470381194462,0.121,0.085,1
"Ino80",0.00506033715244975,0.160675434552752,0.095,0.064,1
"Sec6",0.00508071379403668,0.159969208643716,0.083,0.054,1
"ClC-c",0.00510960959686062,0.195256560535099,0.171,0.128,1
"Osbp",0.0051349109730051,0.419291855281573,0.074,0.047,1
"Pol32",0.00514728150612716,0.121609022851433,0.085,0.056,1
"Sema5c",0.0051707949633246,0.156849812620502,0.326,0.267,1
"CG43394",0.00517248376973934,0.534062928549937,0.081,0.053,1
"Nse1",0.00518726181790942,0.496884004861897,0.044,0.024,1
"CG6428",0.00519444960413079,0.64674735636493,0.053,0.031,1
"RNaseZ",0.00520891698203162,0.606080266189872,0.033,0.016,1
"mei-S332",0.00521421596255731,0.364191261314568,0.068,0.042,1
"UbcE2H",0.00522206994710806,0.10251652033289,0.608,0.519,1
"Plod",0.00525945310153267,0.13068528813814,0.542,0.466,1
"sov",0.00527146114135306,0.101269798437667,0.466,0.385,1
"GILT2",0.00528493338920084,0.1424525813485,0.633,0.558,1
"f-cup",0.00529355856504268,0.438337405152426,0.062,0.038,1
"Cyp18a1",0.00529668526301456,0.138390337046958,0.232,0.183,1
"CG14692",0.00529944682241032,-0.340558661023532,0.003,0.012,1
"CG5080",0.00534538476479521,1.08597600293031,0.022,0.009,1
"cbc",0.00534681140390139,0.537670264119745,0.085,0.057,1
"ZnT63C",0.00538702172002395,0.118429894466937,0.169,0.125,1
"amx",0.00539755824614777,0.210886045824172,0.083,0.054,1
"GstE11",0.00541159707275588,1.03970490010487,0.034,0.017,1
"Nep5",0.00541390153002085,1.45586141300948,0.013,0.004,1
"Atg4a",0.00544250150313016,0.192446469602242,0.158,0.117,1
"CG16979",0.00546384194225912,0.22458775194741,0.105,0.072,1
"CG8549",0.00547412049967271,0.230850712178117,0.252,0.201,1
"CG30154",0.00549112320352943,0.355403947673916,0.137,0.101,1
"CG5728",0.00549985367429915,0.250740625473742,0.107,0.075,1
"CG17266",0.00551837343008053,0.337192850508964,0.075,0.049,1
"CG14073",0.00551851581762714,0.100464757459849,0.592,0.494,1
"mthl9",0.00553335729477496,0.2782982741013,0.07,0.044,1
"CG13384",0.00566008604536404,0.224372208062707,0.125,0.089,1
"CG46387",0.00568774660905455,0.147869673774001,0.108,0.075,1
"Chro",0.00568984543546477,0.105309564220597,0.535,0.448,1
"nesd",0.00569506098284803,0.221481037375749,0.073,0.046,1
"CG7650",0.00571083204244605,0.587320351424609,0.055,0.033,1
"CG11178",0.00571879935399179,0.191915502370055,0.072,0.046,1
"sowah",0.00572736054552203,0.107399933614187,0.321,0.26,1
