Gene,avg_log2FC,p_val_adj
Def,3.84202438289048,9.66128178424169e-57
CG31955,0.530353675464397,5.968584338462809e-56
CG42807,-1.42248715398306,6.30819594751639e-56
CG9967,0.590477599877186,1.7621071045788097e-54
Cdc7,0.611863911085188,3.53956872500857e-51
Muc11A,-2.76633404676643,3.47115929972579e-50
CG14292,-2.17759608555302,2.46231204855633e-49
scb,0.617559985153276,5.9264173584780394e-49
CG11400,0.591711344011614,1.51816105887237e-46
Cht7,1.29455767012941,1.8926834592183395e-43
CG5104,0.539948180629999,6.382354282907629e-43
CG13895,0.624901185452016,6.8372752160017385e-43
ifc,0.524060308888779,6.377228064912919e-42
lcs,-5.47909154546669,1.48569591931036e-41
CG16700,1.04932223781035,4.253513600258209e-40
CG31897,0.684181523461434,1.0350880998143e-38
CAH7,0.56078749040503,2.6241206381535797e-36
Den1,-0.52884637177002,1.37813785940539e-35
subdued,0.529476774733646,1.7047159333723498e-35
CG16826,-6.24045927115838,3.37027078789179e-34
CG5001,0.54968777062692,3.1742953727000296e-33
Rop,0.50075303115288206,4.66683220022863e-33
CG9336,1.06705111121989,5.31870898218067e-33
Mvd,0.543166934953146,8.763567072721289e-33
Cyp6d2,0.514538449101844,5.84744937200437e-32
CG12517,1.08881962609509,1.64393889754758e-31
grass,0.756786199743485,1.7307919828863798e-31
CG12780,-0.85443544946635,1.9864544604930497e-31
CG10512,0.51257205664899,2.60950800745381e-31
CG9568,-0.989878872321192,2.34108137597737e-30
CG10126,0.605147692544113,1.56660360904164e-29
Wsck,0.529963180785888,2.92296143864508e-29
emp,0.503793970373306,1.05209676813612e-28
Vm32E,-5.1674120445625,6.32699974788081e-28
CG7900,0.539759816492388,1.56536922495249e-27
dib,0.827019415604288,1.58115858678389e-27
Cyp6a9,0.89420318390937,1.89985305502803e-27
CG16713,-1.80557068508439,9.7485539955566e-27
Irc,0.727639690494356,1.9935701588138e-25
CG4991,1.06063042058194,1.09724548247518e-23
CG34212,-7.48278909354441,1.2959636225651899e-23
Nox,1.05511713140542,3.19311073590622e-23
ImpL2,0.926728171810078,2.57710199808516e-22
mt:ND4L,-0.756204208746778,3.27648222279742e-21
CG34120,-1.52765848557561,7.503579270730299e-21
daw,0.675565234089425,7.57049862582285e-21
CG9411,1.10347117378331,2.8220107227617e-20
Nplp2,-3.90931438419372,1.0182197127921e-19
CG15721,1.32162793604818,1.0773170215159199e-19
CG30271,0.593174330835292,2.0948449536190599e-19
blot,1.16989929135556,2.11395472369277e-19
CG30197,0.601986402710388,3.0805751099823597e-19
CG42540,0.726059472329245,8.93395664306755e-19
CG42822,1.11462815173839,1.4476311040995e-18
