"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Jupiter",3.69092604698582e-56,0.384745866009655,0.852,0.79,4.3726400878641e-52
"eEF2",8.50720709817338e-56,0.180598389804278,0.953,0.921,1.0078488249206e-51
"drk",2.46331916378475e-55,0.351475924538168,0.609,0.484,2.9182942133358e-51
"Cdc7",2.98773421542042e-55,0.611863911085188,0.205,0.123,3.53956872500857e-51
"CG6231",3.85736971460792e-55,0.403456420694169,0.35,0.245,4.569825900896e-51
"CCT8",5.16645163533724e-55,0.304941528583328,0.554,0.435,6.12069525238403e-51
"GMF",6.07091671803887e-55,0.321992946552258,0.454,0.339,7.19221503586065e-51
"Sobp",8.76862504176502e-55,0.370021279530055,0.535,0.425,1.0388190086979e-50
"trbl",1.40050687909292e-54,0.337933157757119,0.429,0.314,1.65918049966139e-50
"pins",2.16379749767347e-54,0.391165785253883,0.217,0.132,2.56345089549376e-50
"Muc11A",2.92999012385058e-54,-2.76633404676643,0.005,0.036,3.47115929972579e-50
"CG7222",4.27400982177523e-54,0.276667901889894,0.392,0.28,5.06341943585712e-50
"Csk",5.20338324719764e-54,0.260740357779756,0.704,0.574,6.16444813295504e-50
"CG7120",5.34650398601861e-54,0.279837909019123,0.47,0.352,6.33400327223625e-50
"Tsp39D",5.60932091331787e-54,0.356196683117812,0.443,0.329,6.64536248600769e-50
"RpL21",8.40417842746062e-54,0.166994550880994,0.982,0.975,9.9564301830126e-50
"eff",1.38880226385336e-53,0.204719295623513,0.891,0.835,1.64531404198708e-49
"shot",1.98425527818803e-53,0.26536827499649,0.872,0.8,2.35074722806936e-49
"CG14292",2.07842664687797e-53,-2.17759608555302,0.023,0.069,2.46231204855633e-49
"CG6051",2.24697122298271e-53,0.239040937649789,0.579,0.447,2.66198680786762e-49
"babos",2.6081507429828e-53,0.266207729825887,0.674,0.555,3.08987618521172e-49
"pnut",3.1047030051459e-53,0.310042172087875,0.659,0.544,3.67814165019634e-49
"scb",5.00246252931378e-53,0.617559985153276,0.238,0.152,5.92641735847804e-49
"Myo61F",6.04377326756166e-53,0.253530064903512,0.521,0.403,7.1600581900803e-49
"Galphaq",1.23481230732221e-52,0.388779881296641,0.329,0.228,1.46288214048462e-48
"Snx3",1.49021474570744e-52,0.340487800759229,0.515,0.401,1.7654574092396e-48
"AnxB9",1.62853254710263e-52,0.431171298031049,0.891,0.806,1.92932250855248e-48
"Chmp1",1.89013404235474e-52,0.290736567974559,0.716,0.61,2.23924179997767e-48
"CrebB",1.99872994749717e-52,0.268667049132488,0.59,0.464,2.36789536879989e-48
"HIP-R",2.38240422743961e-52,0.394019448321181,0.38,0.275,2.82243428824771e-48
"par-6",2.88688799604324e-52,0.319905023577116,0.349,0.245,3.42009620891243e-48
"CG9132",3.0320523586848e-52,0.233820780540197,0.466,0.35,3.59207242933388e-48
"VhaAC39-1",3.50167991893009e-52,0.281300872886173,0.636,0.52,4.14844019995648e-48
"ena",5.4635674822825e-52,0.244294801839326,0.767,0.662,6.47268839626007e-48
"eIF5",5.65037335274096e-52,0.387499344499977,0.279,0.185,6.69399731099222e-48
"Vinc",7.44008960981699e-52,0.354197579678329,0.349,0.244,8.81427416075019e-48
"capt",7.59777582988191e-52,0.302145755638659,0.615,0.501,9.00108502566109e-48
"SNF4Agamma",9.4521046916871e-52,-0.332290747555554,0.864,0.843,1.11979084282417e-47
"stl",1.18838185421968e-51,0.26293731099097,0.601,0.497,1.40787598269406e-47
"CG6701",1.98328206443267e-51,0.326701405316709,0.67,0.545,2.34959426173338e-47
"RpLP2",2.07345120012568e-51,0.171901774911885,0.986,0.975,2.4564176367889e-47
"Nhe2",2.09939378553644e-51,0.229119372549563,0.324,0.221,2.48715181772502e-47
"RpL7A",3.73141775077361e-51,0.15985735971895,0.988,0.977,4.42061060934149e-47
"RpS15",4.3822449992373e-51,0.147533931586033,0.986,0.976,5.19164565059643e-47
"Vta1",5.17295129582804e-51,0.36613020068116,0.497,0.383,6.12839540016747e-47
"RpS8",5.53644077431838e-51,0.148170106372621,0.985,0.972,6.55902138533498e-47
"Arp1",7.80930258059152e-51,0.254850266108792,0.448,0.335,9.25168076722678e-47
"CG11400",1.28147299643147e-50,0.591711344011614,0.294,0.2,1.51816105887237e-46
"CrebA",1.3009478618217e-50,0.260678725726647,0.49,0.381,1.54123293190017e-46
"Mob4",1.36422504827602e-50,0.337054675641274,0.376,0.271,1.6161974146926e-46
"DAAM",2.05854556669545e-50,0.322116685389245,0.299,0.201,2.4387589328641e-46
"CD98hc",2.31462507557323e-50,0.38123930494338,0.341,0.24,2.74213632703161e-46
"MICAL-like",4.86101140693311e-50,0.434807578604323,0.253,0.166,5.75884021379366e-46
"flr",5.68948919020057e-50,0.300231005981821,0.346,0.242,6.74033784363062e-46
"dl",7.53522853382148e-50,0.417714380442738,0.625,0.525,8.9269852440183e-46
"Unr",8.10188520962576e-50,0.229509148731169,0.873,0.806,9.59830340784364e-46
